"X1","X2","n","Sample_real","quantile_99_9","real_n"
458,"ipaH321",6,"S_enterica_2",21.2616862461866,NA
458,"uidA616",10,"S_enterica_2",51.0816207588305,NA
458,"mcr64",4,"S_enterica_2",89.7884189932358,NA
458,"chuA24",17,"S_enterica_2",120.880769045547,NA
458,"stx23291",16,"S_enterica_2",78.4426543581793,NA
458,"mphA18",5,"S_enterica_2",17.0702477702863,NA
458,"Tsp19",3,"S_enterica_2",21.8678047948649,NA
458,"aac6I123",2,"S_enterica_2",11.3437589734004,NA
458,"dfrA1",4,"S_enterica_2",171.576934043566,NA
458,"astA13",2,"S_enterica_2",10.8982949359371,NA
458,"qnrS1",1,"S_enterica_2",7.41224995740564,NA
458,"aac3II63",1,"S_enterica_2",3.768131939875,NA
458,"aaiC17",2,"S_enterica_2",20.0162425863696,NA
458,"stx2181",1,"S_enterica_2",28.4620161784287,NA
458,"bfpF56",1,"S_enterica_2",2.97627866533694,NA
458,"eae111",1,"S_enterica_2",23.7304952007239,NA
459,"dfrA15",8857,"V_cholera_1",45044.3140768821,NA
459,"dfrA369",246,"V_cholera_1",8679.36043701556,NA
459,"trpA354",30,"V_cholera_1",134.062059371692,NA
459,"qnrB7",777,"V_cholera_1",3932.28470087176,NA
459,"dfrA243",574,"V_cholera_1",3059.13029908572,NA
459,"invE132",157,"V_cholera_1",1873.07522286973,NA
459,"stx1301",51,"V_cholera_1",383.16671651034,NA
459,"bfpA82",207,"V_cholera_1",1344.94106231646,NA
459,"sul22",35,"V_cholera_1",234.331413109493,NA
459,"ipaH921",263,"V_cholera_1",892.457127114583,NA
459,"dfrA58",211,"V_cholera_1",570.011106605434,NA
459,"aph6I29",732,"V_cholera_1",1564.71149082057,NA
459,"tetA13",93,"V_cholera_1",179.496739852089,NA
459,"eae6271",53,"V_cholera_1",513.949347429163,NA
459,"eltA73",27,"V_cholera_1",100.946481015484,NA
459,"sul15",147,"V_cholera_1",406.852140513735,NA
459,"mcr28",143,"V_cholera_1",3302.48592248652,NA
459,"gadph195",18,"V_cholera_1",105.058327370762,NA
459,"stx2181",7,"V_cholera_1",28.4620161784287,NA
459,"tetB43",39,"V_cholera_1",186.174284143104,NA
459,"astA13",4,"V_cholera_1",10.8982949359371,NA
459,"stx23291",13,"V_cholera_1",78.4426543581793,NA
459,"ant2Ia1",59,"V_cholera_1",225.708178159779,NA
459,"yjaA12",29,"V_cholera_1",194.115628268021,NA
459,"sul336",99,"V_cholera_1",651.156032356883,NA
459,"chuA24",45,"V_cholera_1",120.880769045547,NA
459,"aadA1",4,"V_cholera_1",14.1571352863536,NA
459,"aadA57",10,"V_cholera_1",23.5136927375065,NA
459,"aac3VI23",21,"V_cholera_1",43.3275644759138,NA
459,"mphA18",6,"V_cholera_1",17.0702477702863,NA
459,"aap223",1,"V_cholera_1",2.87320121980796,NA
459,"ipaH321",10,"V_cholera_1",21.2616862461866,NA
