X2,n,Sample_real,quantile_99_9,real_n,wgs
stx23291,6,75_1,37.0917137,NA,t
chuA24,6,48_2,89.39378987,NA,t
tetB43,6,48_2,79.58461952,NA,t
ipaH321,6,51_2,17.75498553,NA,t
aadA57,6,52_2,23.95903573,NA,t
mcr64,6,52_2,12.80598684,NA,t
mphA18,6,zSet2Negative_5,23.02436054,NA,t
Tsp19,6,zSet2Negative_5,20.14329318,NA,t
ipaH321,6,56_2,17.75498553,NA,t
aadA57,6,56_2,23.95903573,NA,t
stx23291,6,57_2,37.0917137,NA,t
stx23291,6,59_2,37.0917137,NA,t
ant2Ia1,6,60_2,171.2816378,NA,t
eltA73,6,60_2,36.22578755,NA,t
stx23291,6,61_2,37.0917137,NA,t
aadA57,6,61_2,23.95903573,NA,t
stx23291,6,64_2,37.0917137,NA,t
mcr64,6,65_2,12.80598684,NA,t
aadA57,6,66_2,23.95903573,NA,t
eltA73,6,66_2,36.22578755,NA,t
Tsp19,6,66_2,20.14329318,NA,t
aadA57,6,zaggR_1,23.95903573,NA,t
ipaH321,6,zaggR_1,17.75498553,NA,t
mphA18,6,73_2,23.02436054,NA,t
ipaH321,6,73_2,17.75498553,NA,t
mcr64,6,75_2,12.80598684,NA,t
ipaH321,6,75_2,17.75498553,NA,t
uidA160,6,76_2,3.925389628,2.074610372,n
mphA18,6,77_2,23.02436054,NA,t
stx2181,6,77_2,14.58952727,NA,t
mcr64,6,zSet2Negative_8,12.80598684,NA,t
astA13,6,zSet2Negative_8,15.58254854,NA,t
stx23291,6,70_2,37.0917137,NA,t
qnrS1,6,70_2,3.06294049,2.93705951,y
yjaA12,6,70_2,75.05504254,NA,t
aadA57,6,zaaiC47_1,23.95903573,NA,t
mphA18,6,zaaiC47_1,23.02436054,NA,t
ipaH321,6,zaaiC47_1,17.75498553,NA,t
eltA73,6,zaaiC47_2,36.22578755,NA,t
dfrA15,6,zSet2PCRNeg_1,23067.879,NA,t
eae6271,5,48_1,131.5009299,NA,t
yjaA12,5,48_1,75.05504254,NA,f
mphA18,5,48_1,23.02436054,NA,f
aac3II63,5,49_1,5.13804044,NA,t
aac6I6,5,50_1,21.79552529,NA,t
