X1,X2,n
465,aadA57,2
465,stx23291,13
465,gadph195,9
465,chuA24,17
465,uidA616,22
465,stx11581,6
465,Tsp19,5
465,stx2181,4
465,tetM34,2
465,aac6I123,1
465,aadA1,1
465,qnrB35,1
465,sul22,16
465,mphA18,2
465,aac6I6,4
465,aafA83,1
465,eltB12,1
465,ipaH321,5
465,estIa94,1
465,aac3II63,2
465,eae111,1
465,aggR11,1
465,aadA21,1
465,aaiC17,1
466,dfrA15,5734
466,ant2Ia1,48
466,eae6271,31
466,qnrB7,595
466,bfpA82,146
466,dfrA243,401
466,aph6I29,417
466,eltA73,18
466,invE132,88
466,tetB43,21
466,dfrA369,173
466,dfrA58,147
466,mcr28,129
466,sul22,19
466,stx1301,33
466,ipaH921,161
466,tetA13,92
466,sul336,58
466,aadA57,6
466,sul15,68
466,uidA616,11
466,chuA24,17
466,astA13,2
466,stx23291,6
466,aadA1,2
466,aac6I6,4
466,mcr64,7
466,trpA354,14
466,aac3VI23,12
466,gadph195,14
466,yjaA12,17
466,aaiC17,2
466,dfrA1,6
466,aadA21,1
466,aac3II63,1
466,ipaH321,5
466,Tsp19,4
466,mphA18,4
466,bfpF56,1
466,estIa94,1
466,stx2181,1
467,dfrA15,6765
467,aph6I29,534
467,dfrA243,420
467,qnrB7,650
467,sul15,110
467,dfrA369,214
467,aadA57,6
467,aac3VI23,24
467,ant2Ia1,58
467,tetA13,95
467,stx1301,37
467,bfpA82,191
467,chuA24,37
467,tetB43,24
467,ipaH921,216
467,dfrA58,162
467,gadph195,20
467,sul336,83
467,mcr28,127
467,invE132,97
467,eae6271,36
467,eltA73,11
467,uidA616,12
467,trpA354,20
467,stx23291,10
467,ipaH321,7
467,sul22,16
467,yjaA12,25
467,aaiC17,1
467,mcr64,6
467,stx2181,3
467,estIa94,1
467,aac6I6,4
467,astA13,3
467,tetM34,1
467,mphA18,6
467,aggR11,2
467,dfrA1,3
467,aac3II63,2
467,Tsp19,2
467,qnrS1,1
467,eltB12,1
467,aap223,1
468,dfrA15,5370
468,dfrA243,384
468,sul336,67
468,qnrB7,440
468,mcr28,89
468,dfrA58,131
468,dfrA369,115
468,aph6I29,437
468,invE132,87
468,ipaH921,136
468,stx1301,38
468,tetA13,77
468,sul15,73
468,uidA616,12
468,yjaA12,11
468,mphA18,5
468,bfpA82,111
468,ipaH321,6
468,aac3VI23,14
468,trpA354,15
468,sul22,17
468,tetB43,23
468,ant2Ia1,51
468,chuA24,21
468,eae6271,21
468,aadA1,2
468,gadph195,16
468,stx23291,9
468,aac6I6,3
468,Tsp19,6
468,aadA57,6
468,mcr64,6
468,astA13,4
468,eltA73,8
468,stx2181,1
468,aac6I123,1
468,eae111,2
468,qnrS1,2
468,dfrA1,1
469,dfrA15,4717
469,yjaA12,27
469,bfpA82,110
469,aph6I29,395
469,stx1301,30
469,eae6271,27
469,dfrA243,304
469,ant2Ia1,40
469,ipaH921,143
469,invE132,88
469,mcr28,91
469,dfrA369,123
469,tetB43,19
469,qnrB7,406
469,sul336,68
469,mcr64,7
469,dfrA58,100
469,chuA24,21
469,aac3VI23,18
469,sul15,73
469,eltA73,9
469,tetA13,72
469,ipaH321,2
469,aadA57,9
469,stx23291,5
469,gadph195,18
469,trpA354,18
469,sul22,20
469,aap223,1
469,qnrS1,1
469,astA13,3
469,aadA1,4
469,mphA18,2
469,aadA21,1
469,aggR11,1
469,uidA616,4
469,dfrA1,3
469,eae111,1
